k00	f00	Ankunft_HH	Abfahrt_HH
2114072	3	1	1
2114652	2	0	1
2115065	1	1	1
2115065	2	1	1
2115065	3	1	1
2115065	4	1	1
2115065	5	1	1
2115065	6	1	1
2115065	7	1	1
2120209	1	1	1
2120211	2	0	1
2120324	2	0	1
2120419	2	0	1
2120615	1	1	1
2120615	2	1	1
2120616	1	1	1
2120616	2	1	1
2120628	1	1	1
2120628	2	1	1
2120628	3	1	1
2120956	1	1	1
2120956	2	1	1
2120956	3	1	1
2120956	4	1	1
2120956	5	1	1
2120956	6	1	1
2120956	7	1	1
2120958	1	1	1
2120958	2	1	1
2120958	3	1	1
2120958	4	1	1
2120958	5	1	1
2121035	1	1	1
2121035	2	1	1
2121035	3	1	1
2121035	4	1	1
2121035	5	1	1
2121170	2	0	1
2121231	1	0	1
2121231	3	1	1
2121231	4	1	1
2121231	5	1	1
2121339	1	0	1
2121411	1	0	1
2121411	3	1	1
2121411	4	1	1
2121411	5	1	1
2121411	6	0	1
2121601	1	1	1
2121601	2	1	1
2121601	3	1	1
2121601	4	1	1
2121601	5	1	1
2121601	6	1	1
2121601	7	1	1
2121601	8	1	1
2121601	9	1	1
2121601	10	1	1
2121601	11	1	1
2121601	12	0	1
2121618	1	1	1
2121618	2	1	1
2121638	1	1	1
2121638	2	1	1
2121638	3	1	1
2121638	4	1	1
2121638	5	1	1
2121638	6	0	1
2121753	1	1	1
2121753	2	1	1
2121754	1	1	1
2121754	2	1	1
2121772	4	1	1
2121772	5	0	1
2121803	1	1	1
2121803	2	1	1
2121804	3	1	1
2121804	4	1	1
2121804	5	1	1
2121804	6	1	1
2121804	7	1	1
2121804	8	0	1
2121814	1	1	1
2121814	2	1	1
2121814	3	1	1
2121814	4	1	1
2121817	1	1	1
2121817	2	1	1
2121902	1	1	1
2121902	2	1	1
2121902	3	1	1
2121902	4	1	1
2121927	1	1	1
2121927	2	1	1
2121927	3	1	1
2122014	1	1	1
2122014	2	1	1
2122014	3	1	1
2122014	4	1	1
2122108	2	0	1
2122108	4	0	1
2122110	1	1	1
2122110	2	1	1
2122219	1	1	1
2122220	1	1	1
2122220	2	1	1
2122220	3	1	1
2122220	4	1	1
2122336	1	1	1
2122336	2	1	1
2122336	3	1	1
2122336	4	1	1
2122336	5	1	1
2122336	6	1	1
2122337	1	1	1
